Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
19,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.001,16,60,1,100,0.947929005,60,0.962555806
20,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.4,0.001,16,60,1,100,0.953006337,59.16666667,0.675449801
21,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.4,0.001,16,60,1,150,0.928743822,51.25,0.798006043
22,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,16,60,1,150,0.955578499,60.83333333,0.755498144
23,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.3,0.001,16,60,1,100,0.960660748,70,0.694559292
24,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.5,0.001,16,60,1,150,0.96386899,70.90163934,0.584747239
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.001,16,60,30,100,-2.867937572,7.172995781,0.656287898
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.3,0.0001,16,60,30,50,-0.331336843,6.329113924,0.620695803
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.6,0.0001,16,60,30,100,-0.446179181,7.594936709,0.589352528
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.8,0.0005,64,60,30,100,-0.459464909,14.76793249,0.541508998
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.0005,16,60,30,50,-0.781772495,8.438818565,0.648848851
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.6,0.0001,32,60,30,100,-0.334875288,17.72151899,0.64763995
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0001,64,60,30,100,-0.349111659,13.08016878,0.720874195
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.001,16,60,30,50,-1.012583307,10.97046414,0.654022686
