Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.5,0.0001,32,60,1,150,relu,0.849373001,41.25,0.615435151
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.5,0.0005,32,60,1,100,leaky_relu,0.73640729,29.58333333,0.598911415
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0005,32,60,1,100,leaky_relu,0.633455781,22.5,0.586098202
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.2,0.001,32,60,1,50,leaky_relu,0.483381029,13.33333333,0.604825542
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.2,0.0001,64,60,1,100,leaky_relu,0.629459202,20.41666667,0.465653751
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.5,0.001,64,60,1,50,leaky_relu,0.617212204,20,0.707421646
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.2,0.0005,64,60,1,150,relu,0.790992071,35.83333333,0.608558963
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.4,0.0001,32,60,1,50,leaky_relu,0.650423509,28.33333333,0.640665937
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.4,0.0001,32,60,1,150,relu,0.797504638,34.16666667,0.633892191
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.4,0.0001,32,60,1,150,relu,0.710223592,28.33333333,0.555262768
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.4,0.0001,32,60,1,150,relu,0.855251269,46.25,0.667537113
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.5,0.0001,32,60,1,150,relu,0.787065122,29.58333333,0.797921446
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.4,0.0001,32,60,1,150,relu,0.787759316,28.75,0.61815249
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.3,0.0001,32,60,1,150,relu,0.808700892,30.83333333,0.554622663
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.5,0.001,32,60,1,150,relu,0.626042451,28.75,0.595405809
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.4,0.0001,32,60,1,150,relu,0.697285642,25.41666667,0.661660911
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.0001,64,60,1,150,relu,0.817151589,37.5,0.475350651
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.4,0.001,32,60,1,100,relu,0.603898802,9.583333333,0.678298532
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,relu,0.79904978,30.83333333,0.460383493
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.0001,64,60,1,150,relu,0.853680706,42.5,0.643011725
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.0001,64,60,1,150,relu,0.785841972,31.66666667,0.581725963
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.0001,64,60,1,150,relu,0.771218784,32.5,0.651360789
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,64,60,1,150,relu,0.864107712,45.83333333,0.613757522
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0001,64,60,30,100,relu,-0.082888988,8.438818565,0.581783068
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.001,64,60,30,150,relu,-0.1378544,4.641350211,1.103847881
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.2,0.0001,64,60,30,150,relu,-0.055683578,9.70464135,0.647462764
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.0001,32,60,30,100,relu,-0.062008542,11.81434599,0.909010283
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.3,0.001,32,60,30,50,leaky_relu,-2.038629433,10.97046414,0.779607013
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0005,64,60,30,100,relu,0.015895276,16.87763713,1.049624215
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0005,32,60,30,100,leaky_relu,-1.822555526,14.76793249,0.779607013
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,64,60,30,150,leaky_relu,-0.021349898,8.860759494,0.498505208
