Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.6000000000000001,0.0001,16,60,1,100,"(16, 1)",Tanh,0.026731616492346174,5.114383230120756,0.9495841717441363,57.08333333333333,0.5142531582637349
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.7,0.0005,16,60,1,150,"(25, 1)",Tanh,0.027982081616500346,5.2963468878430815,0.9447570959719804,55.833333333333336,1.0
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.5,0.0005,32,60,1,50,"(25, 1)",Tanh,0.02786352529518975,5.159298867150158,0.9452242178334039,60.83333333333333,0.5074204305951164
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.6000000000000001,0.0001,16,60,1,100,"(25, 1)",ReLU,0.037166271001781936,7.3962768111497335,0.9025426852096575,36.25,0.3893270784554748
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.2,0.001,32,60,1,150,"(25, 1)",Sigmoid,0.15455476922372244,38.08657072366985,-0.6853157701443997,5.833333333333333,0.6967397758538835
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.7,0.0001,64,60,1,100,"(25, 1)",Tanh,0.04067732076924815,7.773677721598917,0.8832596091372812,38.75,0.6847641347632271
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.2,0.0001,16,60,1,100,"(25, 1)",Sigmoid,0.027828954965648835,5.176990785064859,0.9453600543518115,55.00000000000001,0.320954056969946
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.2,0.001,32,60,1,50,"(25, 1)",ReLU,0.03816602924321321,8.247335211637413,0.8972290383984183,31.666666666666664,0.45593765730530994
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.4,0.0001,16,60,1,100,"(16, 1)",ReLU,0.04321053108175793,8.82761337147525,0.8682666698133794,32.5,0.440325970332308
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.0005,16,60,1,150,"(16, 1)",Tanh,0.022603030734834065,4.112880410635281,0.9639546029443303,70.41666666666667,1.165418187801881
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.0005,16,60,1,150,"(16, 1)",Tanh,0.026538332745979297,4.982590336716694,0.950310602261239,60.416666666666664,0.946086704783801
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.0005,16,60,1,150,"(16, 1)",Tanh,0.023709473920909375,4.3273123159652895,0.9603393070310856,71.25,0.9659343277967757
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.0005,16,60,1,150,"(16, 1)",Tanh,0.032018936684223884,5.686069399396955,0.9276680333494456,56.666666666666664,0.3005723254684417
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.30000000000000004,0.0005,64,60,1,150,"(16, 1)",Sigmoid,0.0586981363818044,11.196038578508093,0.7569111222680724,28.749999999999996,0.45177561464999655
