Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,64,60,1,50,0.912709626,57.5,0.537039624
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,16,60,1,150,0.80064065,16.25,0.592213863
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,50,0.870775732,47.08333333,0.67858415
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.001,64,60,1,150,0.96319988,72.08333333,0.801150762
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.001,64,60,1,150,0.963631927,71.25,0.848049467
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.001,64,60,1,150,0.948989944,66.25,0.670769819
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.0001,64,60,1,150,0.789305536,28.75,0.817389231
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.001,16,60,1,150,0.962862514,73.33333333,0.667824916
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,150,0.961061691,72.08333333,0.863628738
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.0001,64,60,1,150,0.702633673,26.25,0.740319792
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.4,0.0005,16,60,1,150,0.954394473,62.91666667,0.868314311
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.001,64,60,1,150,0.949155673,67.5,0.725240938
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.001,16,60,1,150,0.962077453,72.91666667,0.948444593
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.001,16,60,1,150,0.818209564,17.5,0.592213863
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,16,60,1,150,0.966447068,73.33333333,0.794181823
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,16,60,1,150,0.791889109,14.58333333,0.592213863
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.001,32,60,30,50,-0.616895295,15.18987342,0.7787807
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.0005,16,60,30,100,-0.269354691,11.39240506,0.82700699
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0001,16,60,30,100,-0.689155947,14.76793249,0.761006301
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.0001,32,60,30,100,0.395306736,18.14345992,1.215200095
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0005,64,60,30,100,0.373856056,18.14345992,1.345353234
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,32,60,30,100,0.04836709,13.92405063,0.844640679
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.3,0.001,64,60,30,150,0.204773707,15.61181435,0.746405429
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.001,32,60,30,150,0.004779346,11.39240506,0.735042052
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.2,0.0001,32,60,30,50,0.104644734,15.18987342,0.910883423
