Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0005,32,60,1,150,relu,-0.396559234,62.86919831,1.249559071
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.5,0.0001,64,60,1,150,relu,-3.009224007,42.19409283,1.058771994
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.3,0.0001,64,60,1,50,leaky_relu,-4.67464371,28.27004219,0.964549817
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.0001,64,60,1,100,relu,-3.319086732,33.33333333,0.909138109
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.5,0.0001,32,60,1,150,leaky_relu,-5.107376739,18.56540084,0.844700832
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.2,0.0001,64,60,1,150,leaky_relu,-2.375544191,40.92827004,1.035479822
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,32,60,1,50,relu,0.225770845,70.04219409,0.880156296
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.3,0.001,64,60,1,150,relu,-0.181080701,64.1350211,0.879694678
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.5,0.001,64,60,1,50,leaky_relu,-5.821526367,31.64556962,0.952888852
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0005,32,60,1,100,relu,-1.379273708,12.65822785,0.754241912
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.001,32,60,1,50,relu,-0.565886805,33.33333333,0.816604263
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.001,32,60,1,150,relu,-0.188953244,60.75949367,1.040552625
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.001,64,60,1,50,relu,-5.648765443,14.76793249,0.849341497
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.4,0.001,64,60,1,100,relu,-1.919823223,56.11814346,0.9397614
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.3,0.0001,32,60,1,150,relu,-2.742014228,27.42616034,0.914785296
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.4,0.001,32,60,1,50,relu,-2.989811901,19.4092827,1.022319811
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.2,0.0001,64,60,1,150,relu,-0.097287551,59.49367089,0.87866091
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.2,0.0001,32,60,1,50,relu,-0.800302638,49.36708861,0.900285311
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.2,0.0001,64,60,1,100,relu,-3.197816094,38.8185654,0.959982617
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.4,0.0001,32,60,1,150,relu,-1.628116158,15.61181435,0.910446463
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.0001,64,60,1,150,relu,-0.758441249,55.69620253,0.942507117
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.2,0.001,64,60,1,150,relu,-6.178505963,0.421940928,0.825273678
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.3,0.0005,64,60,1,150,relu,-0.317227418,38.49372385,0.866861153
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.4,0.0001,64,60,1,150,relu,-1.477381573,59.91561181,0.906457371
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.3,0.0001,32,60,30,100,relu,-6.154733186,19.23076923,1.003853875
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.5,0.0005,32,60,30,50,relu,-24.97480138,11.11111111,1.045992154
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.5,0.0005,64,60,30,50,leaky_relu,-10.41640862,16.66666667,0.935259269
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.5,0.0005,32,60,30,100,leaky_relu,-7.81632975,15.38461538,1.072560695
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.2,0.0001,64,60,30,150,leaky_relu,-7.138573482,29.05982906,0.967305423
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,2,0.4,0.0005,32,60,30,100,leaky_relu,-8.991310243,14.52991453,1.033147294
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,3,0.3,0.0005,64,60,30,150,leaky_relu,-12.4977723,15.81196581,1.09173134
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,3,2,0.5,0.001,32,60,30,150,relu,-11.104807,8.547008547,1.200383085
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.4,0.0005,64,60,30,150,relu,-13.40267984,11.96581197,1.018271443
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.3,0.0005,32,60,30,100,relu,-14.76535177,6.41025641,1.003853875
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.0001,32,60,30,100,relu,-7.563976734,17.09401709,0.999262652
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,2,0.2,0.0001,64,60,30,150,leaky_relu,-11.33544977,14.1025641,1.007509566
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,64,60,30,150,leaky_relu,-12.68445165,11.53846154,1.007509566
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.3,0.0001,64,60,30,100,relu,-15.27342841,11.11111111,1.007509566
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,3,0.2,0.0001,32,60,30,50,relu,-7.396959777,31.62393162,0.902301794
