Trial,Indicators,Filters,Kernel Size,Pooling Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,R2,Accuracy,Profit Index
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,3,0.5,0.0005,64,60,1,100,relu,0.696087768,39.58333333,1.06495747
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,2,0.4,0.0005,32,60,1,50,leaky_relu,0.561440705,26.25,1.174809932
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,2,0.4,0.0005,32,60,1,150,leaky_relu,0.867326301,60,1.059375175
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,2,0.5,0.001,32,60,1,50,leaky_relu,0.339859808,17.08333333,0.695920102
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.902614951,63.33333333,0.846562756
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.842681238,54.58333333,1.280884271
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.883220357,60.41666667,0.951421851
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.874831304,60.83333333,1.262888028
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.899818386,63.33333333,1.281164074
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.893180404,59.16666667,0.759085805
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,32,60,1,150,leaky_relu,0.900438972,59.58333333,0.951469122
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,32,60,1,150,leaky_relu,0.899154598,62.91666667,1.273990757
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,32,60,1,150,leaky_relu,0.758138303,41.66666667,1.603076101
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,32,60,1,100,leaky_relu,0.878700922,58.33333333,0.995016409
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.2,0.0001,32,60,1,150,leaky_relu,0.879284414,53.75,0.997408147
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.895638241,65.41666667,1.114090121
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.871530392,57.08333333,0.968003735
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.3,0.0001,32,60,1,150,leaky_relu,0.875322911,60.41666667,1.75614348
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,3,0.4,0.0001,32,60,1,150,leaky_relu,0.874543874,54.58333333,0.886230921
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,3,0.5,0.001,64,60,30,150,leaky_relu,-0.97410748,14.34599156,0.827207027
