Trial,Indicators,Window Size,Forecast Window,Model Type,Alpha,RMSE,MAPE,R2,Accuracy,Profit Index
5,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Linear,,0.01681584956890058,2.46073992742936,0.9001042295289047,87.5,0.8416065163286627
6,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.3087437409000272,0.38590820552492605,69.22829551508643,-51.6111142372957,0.0,1.0
7,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Linear,,0.01681584956890058,2.46073992742936,0.9001042295289047,87.5,0.8416065163286627
8,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Ridge,0.008042672262764679,0.015389000524782388,2.2478496254729348,0.9163376031469213,88.75,0.9493485799016215
9,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Linear,,0.01681584956890058,2.46073992742936,0.9001042295289047,87.5,0.8416065163286627
10,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.00013293332660867235,0.014313206792512027,2.101505578168728,0.9276258684636527,95.41666666666667,0.935364954257375
11,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.00010540335287046578,0.014336108928863467,2.104971215892325,0.9273940757803202,95.41666666666667,0.8495324227204728
12,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.00011687024503230815,0.014325837023709419,2.1034023889729805,0.9274980836370512,95.41666666666667,0.8642477717624428
13,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.0015075197335119445,0.01594260358394783,2.3183276960314485,0.9102100006375111,92.5,1.2176508374021686
14,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.0009822887782570445,0.014609292001046596,2.1365029890722935,0.9246006133949441,94.16666666666667,1.3794691415969826
15,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.0009417474698177117,0.014532506511039198,2.1257102132610157,0.9253911190568332,94.16666666666667,1.3765151682748935
16,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,3.119768921436191,0.38590820552492605,69.22829551508643,-51.6111142372957,0.0,1.0
17,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.00039946540448069644,0.014156931187071243,2.076213821016116,0.9291976429530981,95.0,1.0540974833440329
18,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Ridge,0.11322795081995983,0.016473633162792555,2.447173524925771,0.9041287797082883,87.91666666666667,1.0334478521139223
19,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.005231656994242953,0.035797653746035794,5.162441712783735,0.547291551270372,51.66666666666667,1.4934203494824412
20,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.0008871405816133289,0.014443262807751952,2.113613170294514,0.9263046474135128,94.16666666666667,1.4022433936344703
21,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.00023027382143284416,0.014232525817671902,2.089299276009972,0.9284394888166215,95.0,0.8811626221073373
22,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.00044005812599687977,0.014153177733953639,2.0759887638646943,0.9292351818934868,94.58333333333333,1.2257991811094548
23,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.003067246632263645,0.02297933439710687,3.334000615168584,0.8134546775302183,76.25,1.459472540524038
24,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,1,Lasso,0.0003616617990131836,0.014165377260952896,2.0774063897384836,0.9291131358921092,95.0,1.039280021942811
0,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,30,Linear,,0.10701768826194225,17.54364292349358,-2.878857651189024,19.40928270042194,0.8286492108685556
1,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,30,Ridge,2.2499678704345287,0.09976793028411428,16.635597790630438,-2.3711232952153365,14.345991561181433,0.8295663425781451
2,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,30,Lasso,0.006214845493277012,0.05847880269089562,9.052249508940214,-0.1582162545029029,35.44303797468354,1.082417725629324
3,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,30,Ridge,0.034597124714106434,0.10150955190553002,16.751217232470665,-2.489848167194683,18.565400843881857,0.8286492108685556
4,"20MA, 50MA, MACD, CCI, ATR, Williams_%R",60,30,Ridge,0.011037651296631678,0.10286740605021903,16.98593657444472,-2.583837326289298,18.9873417721519,0.8286492108685556
