Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.0001,16,60,30,150,-0.065299144,17.29957806,1.298292028
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0001,32,60,30,50,-0.62966532,12.23628692,0.873417894
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,100,0.360000663,25.73839662,1.177560702
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,100,0.37902476,26.16033755,1.388993253
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,100,0.331257981,25.3164557,1.20762128
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,100,0.3398036,25.73839662,1.20762128
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,100,0.347252819,25.73839662,1.182720099
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.3,0.001,16,60,30,100,0.23567687,18.56540084,1.091724532
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.5,0.001,16,60,30,100,0.374518382,26.58227848,1.146264397
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.001,64,60,30,100,0.043186726,14.34599156,1.087230942
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.5,0.001,16,60,30,100,0.262905641,17.29957806,1.136380883
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,16,60,30,100,0.336386089,24.47257384,1.169343093
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6,0.0005,64,60,30,100,0.050032221,16.03375527,1.161256376
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.001,16,60,30,100,0.382374977,27.00421941,0.998920649
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.001,16,60,30,100,0.354464419,26.16033755,1.171018574
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.001,16,60,30,100,0.350423845,24.89451477,1.195220845
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.001,16,60,30,100,0.351011268,26.16033755,1.144668928
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,16,60,1,100,0.892627416,58.33333333,1.015222174
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.7,0.0001,16,60,1,100,0.498052049,27.5,0.853604451
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.4,0.001,32,60,1,50,0.870294823,56.25,1.244003507
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.001,64,60,1,50,0.814737221,43.33333333,0.912134815
4,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.2,0.0005,16,60,1,100,0.523925408,16.25,0.590953008
5,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.2,0.0005,64,60,1,100,0.887062796,59.16666667,0.92991279
6,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.4,0.0005,32,60,1,50,0.879911966,58.75,1.215161798
7,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.8,0.0005,32,60,1,150,0.880064981,55.83333333,1.125634021
8,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.8,0.0001,64,60,1,100,0.185858452,20.83333333,1.177620576
