Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Activation Func,RMSE,MAPE,R2,Accuracy,Profit Index
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.0001,16,60,1,150,relu,0.030795533875365155,3.582554446546444,0.9574662592950394,72.68907563025209,1.1526291426719595
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.0005,16,60,1,100,tanh,0.02787364816838356,3.171736720286697,0.9651545777116868,79.83193277310924,0.9224263316482476
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.30000000000000004,0.0005,64,60,1,150,tanh,0.027615199019886322,3.2120579528891318,0.9657977671614782,77.73109243697479,1.2174352130156383
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.2,0.0005,32,60,1,150,relu,0.028405660673482984,3.3470076661656933,0.9638117240116219,77.31092436974791,1.238223424766413
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,16,60,1,100,relu,0.027201171097822854,3.0861875898553732,0.966815650507623,80.25210084033614,1.136164683327414
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.001,16,60,1,100,sigmoid,0.038229831192876575,4.649632000199959,0.9344514838309865,58.40336134453782,1.321363176017033
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.30000000000000004,0.0005,64,60,1,150,tanh,0.027276667322302973,3.0900727290597256,0.9666311900826542,76.47058823529412,1.5593948840233776
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,64,60,1,150,tanh,0.026862651983396255,3.0056423201503946,0.9676364707414132,79.83193277310924,1.5816825188474284
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,16,60,1,100,tanh,0.028237653927410875,3.2820494121924697,0.9642385329282464,77.31092436974791,0.9268295467415016
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,1,50,sigmoid,0.05660368635329265,6.43640886789612,0.8563030547439836,48.319327731092436,1.1276692295951711
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6000000000000001,0.001,16,60,1,150,relu,0.028956806980112257,3.2970751479375067,0.9623938004100212,79.41176470588235,0.9751458389789115
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,64,60,1,100,tanh,0.02853217698448081,3.1929294677170974,0.9634886473443796,77.31092436974791,1.1700893996268595
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6000000000000001,0.0005,64,60,1,100,relu,0.032312447956789704,3.7672008581973246,0.95317283925626,74.36974789915966,1.005984238883623
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.6000000000000001,0.001,16,60,1,150,tanh,0.02841043196542348,3.3316517550609923,0.9637995659187133,77.31092436974791,0.9475925717629243
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0001,32,60,1,50,sigmoid,0.08124453895026043,8.113996596325771,0.7039626818749662,40.7563025210084,1.3811204777004473
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,64,60,1,150,relu,0.027595253195731372,3.2902779060083343,0.9658471562935793,78.57142857142857,1.1603198713227265
