Trial,Indicators,Hidden Size,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,R2,Accuracy,Profit Index
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,150,0.860845382,83.60655738,0.751021831
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,150,0.900127915,90.41666667,1.191496436
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,64,60,1,150,0.908965808,89.3442623,1.193307824
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0001,64,60,1,150,0.536252197,52.91666667,1.057854447
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.7,0.001,64,60,1,150,0.868714182,83.75,0.763988402
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.001,32,60,1,150,-1.353904418,33.33333333,1.225490666
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,150,0.753458208,65.83333333,0.763488302
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,64,60,1,150,0.773692503,70.41666667,0.857341059
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,64,60,1,150,0.816063337,72.91666667,0.737097877
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.001,64,60,1,150,0.896932568,88.75,1.23775027
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.2,0.001,64,60,1,150,0.873429306,84.58333333,0.84131649
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.001,64,60,1,150,0.840146002,77.91666667,0.777909846
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0005,64,60,30,50,-2.582760773,14.76793249,1
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.001,16,60,30,50,-0.388025442,32.48945148,1.043333677
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.2,0.001,16,60,30,50,-3.65229502,7.883817427,0.828648974
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.4,0.0001,32,60,30,50,-0.326296835,43.88185654,1.177264303
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.001,64,60,30,100,-0.14500135,43.88185654,1.014502943
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.4,0.001,32,60,30,50,-1.492060739,20.67510549,1.145070933
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,64,60,30,100,-0.280884005,29.11392405,1.217727592
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.3,0.0005,64,60,30,50,-0.356828759,31.64556962,1.3291232
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.8,0.001,64,60,30,150,-0.785333771,30.37974684,0.918307919
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,0.8,0.0001,16,60,30,100,-0.972954896,25.73839662,1.193766285
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.6,0.001,64,60,30,100,-0.628350146,34.02489627,0.943002449
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,30,100,-0.055214574,42.19409283,1.071062288
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0005,64,60,30,100,-0.504079035,36.09958506,0.948861168
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0005,64,60,30,100,-0.078564505,41.90871369,0.997176047
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0005,64,60,30,150,-0.232944517,35.44303797,1.084096418
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,32,60,30,100,-0.070718583,41.7721519,1.022779437
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,32,60,30,100,-0.222005147,41.7721519,1.248383504
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.5,0.0005,32,60,30,100,-0.129662037,43.03797468,1.103465531
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0001,32,60,30,150,-0.236659303,41.35021097,1.129424442
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0005,32,60,30,100,-0.190949231,41.35021097,1.177273252
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.8,0.0005,32,60,30,100,-0.314794989,41.35021097,1.014960921
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,0.7,0.0005,64,60,30,100,-0.768038556,28.27004219,0.873499695
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,30,100,-0.050193968,36.70886076,0.980642276
23,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.6,0.0005,16,60,30,100,-0.641701976,31.22362869,0.838833503
24,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,0.7,0.0005,64,60,30,100,-0.254831136,42.19409283,1.021462655
0,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",32,0.3,0.0005,16,60,1,150,0.896817894,89.16666667,0.813437716
1,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",128,0.4,0.001,16,60,1,150,0.574811971,53.33333333,0.838111904
2,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.7,0.0001,32,60,1,150,0.789261373,69.58333333,1.110241701
3,"20MA, 50MA, RSI, MACD, Upper_BB, ATR",64,0.8,0.0001,64,60,1,100,0.733368747,67.08333333,0.828105907
