Trial,Indicators,LSTM Units,Layers,Dropout,LR,Batch Size,Window Size,Forecast Window,Epochs,Dense Config,Dense Activation,RMSE,MAPE,R2,Accuracy,Profit Index
0,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,2,0.2,0.001,64,60,1,50,"(25, 1)",ReLU,0.04111453150469863,7.191261090707431,0.7950660070185318,40.416666666666664,0.9770104289363855
1,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.5,0.0001,32,60,1,150,"(16, 1)",Sigmoid,0.07597967676506003,9.885733335477813,0.3001286855072064,40.833333333333336,1.0674884145244588
2,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.4,0.001,16,60,1,100,"(25, 1)",ReLU,0.09475434023959517,15.187645948170553,-0.08848270858957874,15.833333333333332,0.9249230764144375
3,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.4,0.001,32,60,1,100,"(25, 1)",ReLU,0.03931399408938614,6.339267132659362,0.8119685498387936,47.540983606557376,1.376916359936569
4,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.8,0.0001,16,60,1,150,"(16, 1)",ReLU,0.03169704601213131,5.1267311713222465,0.8777711459784348,53.68852459016394,0.8661597901347404
5,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,2,0.30000000000000004,0.0005,64,60,1,100,"(16, 1)",Sigmoid,0.03514419706096666,5.519524159484641,0.8502625057842836,50.0,0.9229433542730767
6,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.4,0.0005,32,60,1,150,"(16, 1)",Tanh,0.03387459732222531,5.7410608943416275,0.8608857582657214,50.416666666666664,0.9339293897000802
7,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.5,0.0001,32,60,1,100,"(25, 1)",Sigmoid,0.07169538259903972,10.06602004761658,0.3768312256898638,34.583333333333336,1.127371751596376
8,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",128,3,0.7,0.0005,32,60,1,150,"(25, 1)",Tanh,0.04234716133177748,6.8771436059257995,0.782593803987756,41.66666666666667,1.2529966911994088
9,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",64,2,0.7,0.0001,64,60,1,50,"(16, 1)",ReLU,0.04549208850454646,7.915225806400512,0.7491032353628717,39.166666666666664,0.9757374074035295
10,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.8,0.0001,16,60,1,150,"(16, 1)",ReLU,0.034296048696187485,5.538748297544878,0.8574026402154812,50.416666666666664,1.1095712237569249
11,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.6000000000000001,0.0005,16,60,1,150,"(16, 1)",Tanh,0.06671312798694852,12.623225878673017,0.4604323317616643,11.25,0.5466815015884948
12,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,3,0.8,0.0005,16,60,1,150,"(16, 1)",Tanh,0.03495444836010103,5.277649819628678,0.8518750504285462,55.41666666666667,1.3415460329222384
13,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,3,0.30000000000000004,0.0001,32,60,1,150,"(16, 1)",Tanh,0.034134528536455606,5.391931577573737,0.8587426261789431,54.166666666666664,1.190877873111467
14,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,2,0.6000000000000001,0.0005,16,60,1,150,"(16, 1)",Tanh,0.024340252607620304,3.8437857587118605,0.9281753575903224,70.41666666666667,1.0164836745874264
15,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.7,0.0005,16,60,1,150,"(16, 1)",ReLU,0.026705661675853632,4.247462135537006,0.9135370605858465,62.083333333333336,1.0133825243788919
16,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,2,0.6000000000000001,0.0005,16,60,1,50,"(16, 1)",Tanh,0.03535290419937117,5.880844806765836,0.848478764461184,48.333333333333336,0.9076958410127989
17,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.6000000000000001,0.0005,16,60,1,150,"(16, 1)",Tanh,0.025449454596515902,4.077307179276291,0.9214800039286455,69.16666666666667,0.8612464516951445
18,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,2,0.6000000000000001,0.0005,16,60,1,150,"(16, 1)",Tanh,0.0283721572465633,4.724182051707944,0.9024093913535601,60.416666666666664,1.4033477058637578
19,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.6000000000000001,0.0005,16,60,1,50,"(16, 1)",Tanh,0.037142022464338606,5.9672745333486885,0.8327545132130447,47.5,1.0311898244490874
20,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",16,2,0.5,0.0005,16,60,1,150,"(16, 1)",Tanh,0.030491262860915976,5.07512087271456,0.8872869675678883,59.166666666666664,0.9865660442472112
21,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.7,0.0005,16,60,1,150,"(16, 1)",Tanh,0.029057341338960867,4.648303834212615,0.8976388726122682,62.916666666666664,1.209545390518979
22,"20MA, 50MA, RSI, MACD, Upper_BB, CCI",32,2,0.7,0.0005,16,60,1,150,"(16, 1)",ReLU,0.03364399490599051,5.953014886001252,0.8627733607591628,44.583333333333336,0.6130713451128683
