Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy,,
5681.KL,"20MA, 50MA, RSI, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,0.631294167,2.481752171,0.782703151,90,,
5681.KL,"20MA, 50MA, RSI, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,0.680395166,2.569540346,0.747586653,87.26027397,,
5681.KL,"20MA, 50MA, RSI, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,0.688388769,2.648006681,0.741620872,86.30136986,,
5681.KL,"20MA, 50MA, RSI, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,0.808927942,3.081369376,0.643212565,82.19178082,,
5681.KL,"20MA, 50MA, RSI, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,0.636641273,2.388241777,0.779006522,88.90410959,,
5681.KL,"20MA, 50MA, RSI, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,0.811300297,3.158620725,0.641116786,80.4109589,,
5681.KL,"20MA, 50MA, RSI, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,0.630264301,2.403576289,0.78341155,89.31506849,,
5681.KL,"20MA, 50MA, RSI, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,0.658488232,2.583085401,0.763579075,86.98630137,,
5681.KL,"20MA, 50MA, RSI, CCI, ATR",32,3,0.2,0.001,16,100,adam,0.775201201,3.040840554,0.672343529,83.28767123,,
5681.KL,"20MA, 50MA, RSI, CCI, ROC",32,3,0.2,0.001,16,100,adam,0.744264182,2.865099801,0.69797415,83.69863014,,
5681.KL,"20MA, 50MA, RSI, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,0.628038919,2.384382422,0.784938341,90,,
5681.KL,"20MA, 50MA, RSI, CCI, OBV",32,3,0.2,0.001,16,100,adam,0.699131245,2.723432644,0.73349381,86.84931507,,
5681.KL,"20MA, 50MA, RSI, ATR, ROC",32,3,0.2,0.001,16,100,adam,0.903238716,3.711502811,0.555169081,76.43835616,,
5681.KL,"20MA, 50MA, RSI, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,0.607394761,2.259302066,0.798844478,90.68493151,,
5681.KL,"20MA, 50MA, RSI, ATR, OBV",32,3,0.2,0.001,16,100,adam,0.81973897,3.31472175,0.63361217,80.95890411,,
5681.KL,"20MA, 50MA, RSI, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,0.698406415,2.58935358,0.734046129,88.21917808,,
5681.KL,"20MA, 50MA, RSI, ROC, OBV",32,3,0.2,0.001,16,100,adam,0.615511286,2.454595158,0.793432536,90.54794521,,
5681.KL,"20MA, 50MA, RSI, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,0.617518903,2.324011857,0.792082814,90.2739726,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,0.705974573,2.799763061,0.728250974,85.89041096,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,0.682074206,2.646891588,0.746339334,85.89041096,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,1.266317769,5.135038614,0.125670205,53.42465753,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,0.609276506,2.316287703,0.797596164,90.54794521,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,0.578937856,2.302129171,0.81725152,91.78082192,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,0.608556639,2.293999779,0.798074166,89.7260274,,
5681.KL,"20MA, 50MA, MACD, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,0.632159898,2.495270977,0.782106758,88.49315068,,
5681.KL,"20MA, 50MA, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,0.734730123,2.807274468,0.705662519,85.20547945,,
5681.KL,"20MA, 50MA, MACD, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,0.696668416,2.702023935,0.735368146,85.47945205,,
5681.KL,"20MA, 50MA, MACD, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,0.927293924,3.693540469,0.531159949,74.52054795,,
5681.KL,"20MA, 50MA, MACD, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,0.940191702,3.832685557,0.518027006,69.7260274,,
5681.KL,"20MA, 50MA, MACD, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,0.808419106,3.176635633,0.643661281,81.50684932,,
5681.KL,"20MA, 50MA, MACD, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,0.619940712,2.415662648,0.790448781,89.31506849,,
5681.KL,"20MA, 50MA, MACD, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,0.596494945,2.260931513,0.805999249,90.82191781,,
5681.KL,"20MA, 50MA, MACD, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,0.941115709,3.778339236,0.517079189,72.19178082,,
5681.KL,"20MA, 50MA, MACD, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,0.536557019,2.094857292,0.8430282,93.01369863,,
5681.KL,"20MA, 50MA, MACD, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,0.532227152,2.027240085,0.845551416,92.87671233,,
5681.KL,"20MA, 50MA, MACD, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,0.895925039,3.746569976,0.562343659,74.24657534,,
5681.KL,"20MA, 50MA, MACD, CCI, ATR",32,3,0.2,0.001,16,100,adam,0.567565479,2.134507049,0.82436065,90.54794521,,
5681.KL,"20MA, 50MA, MACD, CCI, ROC",32,3,0.2,0.001,16,100,adam,0.858137127,3.627168322,0.598483627,77.39726027,,
5681.KL,"20MA, 50MA, MACD, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,0.636595373,2.379002588,0.779038387,87.80821918,,
5681.KL,"20MA, 50MA, MACD, CCI, OBV",32,3,0.2,0.001,16,100,adam,0.651013136,2.550982024,0.768916264,89.8630137,,
5681.KL,"20MA, 50MA, MACD, ATR, ROC",32,3,0.2,0.001,16,100,adam,0.565321824,2.19797875,0.825746552,92.05479452,,
5681.KL,"20MA, 50MA, MACD, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,1.242962042,5.261332577,0.157624729,51.50684932,,
