Ticker,Indicators,Filters,Kernel Size,Dropout Rate,Learning Rate,Batch Size,Epochs,Optimizer,RMSE,MAPE,R2,Accuracy
JPM,"20MA, 50MA, RSI, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,13.41154402,5.650120245,0.880687988,51.00671141
JPM,"20MA, 50MA, RSI, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,27.78003016,13.97232308,0.488091859,6.711409396
JPM,"20MA, 50MA, RSI, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,11.26538941,5.25839838,0.915818041,49.39597315
JPM,"20MA, 50MA, RSI, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,8.892533798,4.250941596,0.947546115,67.24832215
JPM,"20MA, 50MA, RSI, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,19.09235913,8.853624917,0.758205844,25.77181208
JPM,"20MA, 50MA, RSI, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,12.74639657,5.82742192,0.892229111,47.7852349
JPM,"20MA, 50MA, RSI, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,8.151461878,3.967623945,0.955924463,71.27516779
JPM,"20MA, 50MA, RSI, CCI, ATR",32,3,0.2,0.001,16,100,adam,9.379547388,4.378904162,0.941643347,68.99328859
JPM,"20MA, 50MA, RSI, CCI, ROC",32,3,0.2,0.001,16,100,adam,35.3379775,15.18449603,0.171657412,12.48322148
JPM,"20MA, 50MA, RSI, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,14.1167811,6.747182723,0.867810192,35.30201342
JPM,"20MA, 50MA, RSI, CCI, OBV",32,3,0.2,0.001,16,100,adam,9.667168286,4.611086695,0.938009496,57.31543624
JPM,"20MA, 50MA, RSI, ATR, ROC",32,3,0.2,0.001,16,100,adam,8.011987732,4.064186672,0.957419852,69.93288591
JPM,"20MA, 50MA, RSI, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,16.85654255,7.49607214,0.81152072,35.30201342
JPM,"20MA, 50MA, RSI, ATR, OBV",32,3,0.2,0.001,16,100,adam,11.46066325,5.056082475,0.912874333,59.32885906
JPM,"20MA, 50MA, RSI, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,27.95001357,11.36046459,0.481808056,28.05369128
JPM,"20MA, 50MA, RSI, ROC, OBV",32,3,0.2,0.001,16,100,adam,25.31890194,10.3500095,0.574777394,28.59060403
JPM,"20MA, 50MA, RSI, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,8.375849086,4.008062935,0.953464509,67.38255034
JPM,"20MA, 50MA, MACD, Signal_Line, Upper_BB",32,3,0.2,0.001,16,100,adam,25.32678168,11.65765555,0.574512678,18.9261745
JPM,"20MA, 50MA, MACD, Signal_Line, Lower_BB",32,3,0.2,0.001,16,100,adam,17.77346088,7.73016781,0.790458226,38.25503356
JPM,"20MA, 50MA, MACD, Signal_Line, CCI",32,3,0.2,0.001,16,100,adam,13.29311415,6.175078025,0.88278584,40.53691275
JPM,"20MA, 50MA, MACD, Signal_Line, ATR",32,3,0.2,0.001,16,100,adam,7.180732058,3.729551372,0.965797011,75.5704698
JPM,"20MA, 50MA, MACD, Signal_Line, ROC",32,3,0.2,0.001,16,100,adam,16.47867499,7.258842172,0.819876164,39.06040268
JPM,"20MA, 50MA, MACD, Signal_Line, Williams_%R",32,3,0.2,0.001,16,100,adam,16.5792537,7.796678483,0.817670658,31.00671141
JPM,"20MA, 50MA, MACD, Signal_Line, OBV",32,3,0.2,0.001,16,100,adam,9.831930438,4.862241208,0.935878421,55.03355705
JPM,"20MA, 50MA, MACD, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,21.06176524,9.276301321,0.70575022,27.65100671
JPM,"20MA, 50MA, MACD, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,12.43774022,5.399217369,0.897385301,50.20134228
JPM,"20MA, 50MA, MACD, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,9.17255409,4.338109746,0.944190623,64.4295302
JPM,"20MA, 50MA, MACD, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,18.23397149,7.951526218,0.779459094,35.70469799
JPM,"20MA, 50MA, MACD, Upper_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,15.68331095,7.06349537,0.83684435,38.25503356
JPM,"20MA, 50MA, MACD, Upper_BB, OBV",32,3,0.2,0.001,16,100,adam,21.18082109,9.55859677,0.702414207,24.16107383
JPM,"20MA, 50MA, MACD, Lower_BB, CCI",32,3,0.2,0.001,16,100,adam,30.73166859,14.68249851,0.373531999,9.261744966
JPM,"20MA, 50MA, MACD, Lower_BB, ATR",32,3,0.2,0.001,16,100,adam,13.98443197,5.761209149,0.870277213,50.73825503
JPM,"20MA, 50MA, MACD, Lower_BB, ROC",32,3,0.2,0.001,16,100,adam,23.30165896,11.00085279,0.639836006,20.26845638
JPM,"20MA, 50MA, MACD, Lower_BB, Williams_%R",32,3,0.2,0.001,16,100,adam,23.82972572,10.97015136,0.62332682,19.06040268
JPM,"20MA, 50MA, MACD, Lower_BB, OBV",32,3,0.2,0.001,16,100,adam,12.0836253,5.697212388,0.903145208,44.29530201
JPM,"20MA, 50MA, MACD, CCI, ATR",32,3,0.2,0.001,16,100,adam,13.38572961,6.216327265,0.881146847,42.68456376
JPM,"20MA, 50MA, MACD, CCI, ROC",32,3,0.2,0.001,16,100,adam,22.45132555,8.975530747,0.665642872,38.25503356
JPM,"20MA, 50MA, MACD, CCI, Williams_%R",32,3,0.2,0.001,16,100,adam,22.48515808,10.57435609,0.664634409,22.01342282
JPM,"20MA, 50MA, MACD, CCI, OBV",32,3,0.2,0.001,16,100,adam,13.10327458,5.80137931,0.886109816,46.97986577
JPM,"20MA, 50MA, MACD, ATR, ROC",32,3,0.2,0.001,16,100,adam,7.338526697,4.075579089,0.964277292,68.8590604
JPM,"20MA, 50MA, MACD, ATR, Williams_%R",32,3,0.2,0.001,16,100,adam,9.00958093,4.223346308,0.946156189,66.17449664
JPM,"20MA, 50MA, MACD, ATR, OBV",32,3,0.2,0.001,16,100,adam,14.41743677,6.834999376,0.862119541,37.04697987
JPM,"20MA, 50MA, MACD, ROC, Williams_%R",32,3,0.2,0.001,16,100,adam,23.49012907,10.87586211,0.633986236,19.86577181
JPM,"20MA, 50MA, MACD, ROC, OBV",32,3,0.2,0.001,16,100,adam,13.34878347,5.835208097,0.881802038,46.57718121
JPM,"20MA, 50MA, MACD, Williams_%R, OBV",32,3,0.2,0.001,16,100,adam,29.94847767,14.56213581,0.405055966,10.60402685
JPM,"20MA, 50MA, Signal_Line, Upper_BB, Lower_BB",32,3,0.2,0.001,16,100,adam,4.799849594,2.532315323,0.984717941,88.18791946
JPM,"20MA, 50MA, Signal_Line, Upper_BB, CCI",32,3,0.2,0.001,16,100,adam,13.72790643,6.42258198,0.874992741,41.20805369
JPM,"20MA, 50MA, Signal_Line, Upper_BB, ATR",32,3,0.2,0.001,16,100,adam,9.628167628,4.591899001,0.938508669,59.73154362
JPM,"20MA, 50MA, Signal_Line, Upper_BB, ROC",32,3,0.2,0.001,16,100,adam,22.31706902,9.298681947,0.669629756,32.08053691
